16060,"Carbondale, IL",112,476880,481744,2.7
16100,"Carlsbad-Artesia, NM",96,413064,430632,4
16180,"Carson City, NV",112,419744,442192,4.53
16220,"Casper, WY",144,532328,603600,13.64
16260,"Cedar City, UT",64,270344,369304,40.38
16300,"Cedar Rapids, IA",456,1898128,2063520,6.53
16340,"Cedartown, GA",56,304816,331800,8.93
16380,"Celina, OH",72,327488,326512,-0.75
16420,"Central City, KY",72,254728,251992,-1.61
16460,"Centralia, IL",96,333424,315496,-5.34
16500,"Centralia, WA",160,548640,603640,9.94
16540,"Chambersburg, PA",216,1035920,1196944,15.03
16580,"Champaign-Urbana, IL",416,1682392,1855128,13.05
16620,"Charleston, WV",632,2477216,2434272,-2.63
16660,"Charleston-Mattoon, IL",120,516168,519368,0.7
16700,"Charleston-North Charleston-Summerville, SC",1248,4392160,5316856,44.04
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",3424,10644632,14064304,131.29
16820,"Charlottesville, VA",352,1392096,1612472,17.14
16860,"Chattanooga, TN-GA",952,3812840,4225144,9.45
16900,"Chester, SC",88,272920,265120,-2.44
16940,"Cheyenne, WY",168,652904,733904,12.23
16980,"Chicago-Joliet-Naperville, IL-IN-WI",17720,72791680,75688840,4.83
17020,"Chico, CA",408,1625000,1760000,13.59
17060,"Chillicothe, OH",136,587160,624512,5.78
17140,"Cincinnati-Middletown, OH-KY-IN",4008,16077272,17041208,5.93
17200,"Claremont, NH",80,323472,349936,9.16
17220,"Clarksburg, WV",224,736456,753568,2.31
17260,"Clarksdale, MS",56,244936,209208,-16.27
17300,"Clarksville, TN-KY",544,1856736,2191592,35.05
17340,"Clearlake, CA",120,466648,517320,10.56
17380,"Cleveland, MS",64,324952,273160,-16.39
17420,"Cleveland, TN",192,832096,926304,9.66
17460,"Cleveland-Elyria-Mentor, OH",5104,17184144,16617920,-1.88
17500,"Clewiston, FL",56,289520,313120,8
17540,"Clinton, IA",96,401256,392928,-2.97
17580,"Clovis, NM",96,360400,387008,7.86
17620,"Coamo, PR",136,549720,572720,-0.48
17660,"Coeur d'Alene, ID",200,869448,1107952,21.3
17700,"Coffeyville, KS",104,290136,283768,-3.23
17740,"Coldwater, MI",96,366248,361984,-1.95
17780,"College Station-Bryan, TX",416,1478872,1829280,44.39
17820,"Colorado Springs, CO",1088,4299832,5164904,103.85
17860,"Columbia, MO",256,1165416,1382288,15.55
17900,"Columbia, SC",1528,5177752,6140784,27.13
17940,"Columbia, TN",136,556352,647648,18.77
17980,"Columbus, GA-AL",624,2254960,2358920,3.4
18020,"Columbus, IN",120,571760,614352,7.26
18060,"Columbus, MS",112,492768,478232,-3.58
18100,"Columbus, NE",56,252592,257896,1.37
18140,"Columbus, OH",3360,12903264,14692288,20.65
18180,"Concord, NH",288,1090104,1171560,8.01
18220,"Connersville, IN",56,204712,194216,-4.35
18260,"Cookeville, TN",208,747408,848336,11.68
18300,"Coos Bay, OR",112,502360,504344,0.67
18340,"Corbin, KY",64,287024,285096,-2.08
18380,"Cordele, GA",48,176128,187512,5.92
18420,"Corinth, MS",56,276152,296456,7.53
18460,"Cornelia, GA",64,287088,344328,20.49
18500,"Corning, NY",240,789592,791920,-0.29
18580,"Corpus Christi, TX",832,3225968,3425480,13.54
18620,"Corsicana, TX",80,360904,381880,7.3
18660,"Cortland, NY",96,389632,394688,1.76
18700,"Corvallis, OR",144,625144,684632,9.08
18740,"Coshocton, OH",80,293240,295208,0.09
18820,"Crawfordsville, IN",72,301072,304992,1.51
18860,"Crescent City, CA",64,220040,228880,7.41
18880,"Crestview-Fort Walton Beach-Destin, FL",344,1364152,1446576,7.73
18900,"Crossville, TN",112,374248,448424,21.15
18940,"Crowley, LA",96,470576,494184,5.52
